1209;Иностранный язык (деловое общение);2012-05-14 15:00:02.980
1745;Иностранный язык (деловое общение) (английский);2013-01-24 10:06:59.590
1693;Иностранный язык (немецкий);2012-12-20 11:37:01.123
1703;Иностранный язык (второй) (немецкий);2012-12-22 12:59:46.070
1870;Институциональная экономика;2013-12-17 10:56:22.263
1541;Инструментальные средства программирования (периферийные устройства);2012-05-14 15:05:29.607
1309;Инструментальные средства программирования (цифровая обработка сигналов);2012-05-14 15:05:02.200
1871;Интегрированная логистическая поддержка продукции на этапах жизненного цикла;2013-12-17 11:01:42.437
1588;Интегрированные системы проектирования и управления;2012-05-14 15:06:49.247
1179;Интегрированные системы проектирования и управления автоматизированных и автоматических производств;2012-05-03 14:47:34.817
1662;Интеллектуальные системы;2012-07-13 10:33:38.667
1554;Интерфейсы АСОИУ;2012-05-14 15:05:54.013
1191;Информатика;2012-05-14 15:00:02.700
1424;Информационное обеспечение автотранспортных систем;2012-05-14 15:05:06.670
1425;Информационное обеспечение транспортных систем;2012-05-14 15:05:06.670
1771;Информационные системы в экономике;2013-02-11 14:24:19.863
1661;Информационные системы управления качеством в автоматизированных и автоматических производствах;2012-07-10 11:26:03.963
1311;Информационные технологии;2012-05-14 15:05:02.250
1639;Информационные технологии в менеджменте;2012-05-14 15:10:48.107
1845;Информационные технологии в процессах переработки полимеров;2013-08-23 14:53:03.687
1432;Информационные технологии в экономике;2012-05-14 15:05:07.013
1840;Исследование операций;2013-06-14 17:52:01.993
1872;Иституциональная экономика;2013-12-17 11:20:59.013
1614;История;2012-05-14 15:07:42.247
1634;История и методология науки в машиностроительных производствах;2012-05-14 15:10:46.950
1669;История и методология науки и производства;2012-07-24 11:09:48.373
1715;История и методология химической технологиии;2012-12-26 14:50:26.710
1873;История и методология экономической науки;2013-12-17 11:21:46.780
1458;История и современное состояние мировой автомобилизации;2012-05-14 15:05:10.500
1231;История мировой культуры;2012-05-14 15:04:59.450
1670;История развития техники;2012-09-20 18:51:39.210
1238;История экономики;2012-05-14 15:04:59.593
1605;История экономики и экономических учений;2012-05-14 15:06:51.687
1237;История экономических учений;2012-05-14 15:04:59.593
1592;История экономической науки ;2012-05-14 15:06:50.497
1593;Квалиметрия и управление качеством;2012-05-14 15:06:50.513
1843;Кинетика и термодинамика синтеза ВМС;2013-07-17 10:36:04.837
1581;Количественные методы анализа экономических процессов;2012-05-14 15:06:47.687
1733;Коллоидная химия;2013-01-18 12:05:44.773
1283;Компьютерная графика;2012-05-14 15:05:01.310
1722;Компьютерное моделирование;2013-01-10 14:30:16.700
1433;Компьютерные методы и информационные системы в технологии полимеров;2012-05-14 15:05:07.810
1762;Компьютерные методы и информационные системы в технологии синтеза и переработки полимеров;2013-02-04 14:42:25.420
1184;Компьютерные системы автоматизации и управления;2012-05-11 13:02:32.340
1705;Компьютерные технологии в науке и производстве;2012-12-24 13:17:04.037
1192;Компьютерные технологии в науке и образовании;2012-05-14 15:00:02.747
1761;Компьюторная графика;2013-02-04 14:06:54.670
1633;Конкурентная и антимонопольная политика;2012-05-14 15:10:45.357
1943;Конструирование и обслуживание силовых передач;2014-04-23 11:33:04.880
1490;Конструирование и расчёт элементов оборудования;2012-05-14 15:05:13.390
1824;Конструирование программного обеспечения;2013-04-26 11:28:40.583
1274;Контроллинг;2012-05-14 15:05:00.843
1734;Конфликтология;2013-01-18 13:48:41.557
1775;Концепции современного естествознания;2013-02-27 15:20:53.283
1329;Концепции современного естествознания (физика);2012-05-14 15:05:03.140
1330;Концепции современного естествознания (химия);2012-05-14 15:05:03.140
